Yu-Jin | So, Julie, where are you planning to go today?
Julie | I'm going to go to Insadong. I heard that it is a traditional Korean marketplace. I will get something for my family there. It's a great place to shop for souvenirs, but it's quite crowded there, right?
Yu-Jin | Yes, it's really busy. How about you, Justin? How are you going to get there?
Justin | I get there by bus and transfer to the subway, or I can take a taxi. I will take a bus and subway to sightsee Seoul.
Yu-Jin | Oh, that's a good idea. Buses and subways will not be very crowded at this time.
Julie | I heard that I need a transportation card to transfer. Where can I get a transportation card?
Yu-Jin | You can buy it a t banks, subway booths, and bus stops. If you don't mind, shall I go together with you guys?
Justin | Of course not! It's a relief that you can go with us.
Julie | Do you have anything to buy?
Yu-Jin | Actually, my husband will come back from his business trip soon. So I want to prepare a gift for him.
Julie | Wow, you are so sweet.
